title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Top news,CNA,,,,https://www.channelnewsasia.com/news/world/eu-begins-vaccine-roll-out-as-new-coronavirus-variant-spreads-13844728,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.2023
Pope Francis calls on nations to share vaccines in Christmas message,South China Morning Post,1 day ago,2020-12-25 22:32:42.170871,Pontiff says walls of nationalism could not be built to stop a pandemic that knows no borders.,https://www.scmp.com/news/world/europe/article/3115376/pope-francis-stresses-coronavirus-vaccines-all-christmas-message,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.296
Coronavirus aid at risk as US lawmakers block Trump's changes,The Straits Times,1 day ago,2020-12-25 22:32:41.601893,WASHINGTON (REUTERS) - US lawmakers on Thursday (Dec 24) blocked attempts to alter a US$2.3 trillion (S$3 trillion) coronavirus aid and government ...,https://www.straitstimes.com/world/united-states/lawmakers-block-trumps-requested-changes-on-coronavirus-aid-bill,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.6124
"COVID-19: Another new coronavirus variant found in Nigeria, says Africa CDC",CNA,1 day ago,2020-12-25 22:32:41.591893,"Another new variant of the novel coronavirus seems to have emerged in Nigeria, the head of Africa's disease control body said on Thursday, ...",https://www.channelnewsasia.com/news/world/africa-nigeria-new-coronavirus-strain-covid-19-13838458,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13636363636363635,0.45454545454545453,0.0
The latest on the coronavirus pandemic and vaccines: Live updates,CNN.com,1 day ago,2020-12-25 22:32:41.578920,More than 1 million Americans have received their first shot of a Covid-19 vaccine as the pandemic rages into the holiday season. A CDC ensemble forecast ...,https://www.cnn.com/world/live-news/coronavirus-pandemic-vaccine-updates-12-24-20/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.3181818181818182,0.7,0.0
South Korea to decide on tougher rules as Covid-19 count hits another high,The Straits Times,1 day ago,2020-12-25 22:32:41.575923,The new cases include a large outbreak at a prison in Seoul.. Read more at straitstimes.com.,https://www.straitstimes.com/asia/east-asia/south-korea-sets-highest-daily-coronavirus-toll-struggles-to-contain-latest-surge,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.16,0.5399999999999999,0.1779
"Thailand confirms 81 new coronavirus infections, SE Asia News & Top Stories",The Straits Times,1 day ago,2020-12-25 22:32:34.940279,"BANGKOK (REUTERS) - Thailand confirmed 81 new coronavirus infections on Friday (Dec 28), of which nine were imported from abroad, the public health ...",https://www.straitstimes.com/asia/se-asia/thailand-confirms-81-new-coronavirus-infections,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.3181818181818182,0.4772727272727273,0.2023
Indonesia records highest daily increase in COVID-19 deaths amid muted Christmas celebrations,CNA,1 day ago,2020-12-25 22:32:34.927309,"JAKARTA: Indonesia recorded its biggest daily rise in COVID-19 deaths on Friday (Dec 25) with 258 fatalities, taking the total to 20847, data by ...",https://www.channelnewsasia.com/news/asia/indonesia-highest-covid-19-deaths-cases-christmas-coronavirus-13841878,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.3182
Indonesia records highest daily increase in COVID-19 deaths amid muted Christmas celebrations,CNA,1 day ago,2020-12-25 22:32:34.412465,"JAKARTA: Indonesia recorded its biggest daily rise in COVID-19 deaths on Friday (Dec 25) with 258 fatalities, taking the total to 20847, data by ...",https://www.channelnewsasia.com/news/asia/indonesia-highest-covid-19-deaths-cases-christmas-coronavirus-13841878,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.3182
"Top US coronavirus official Deborah Birx retiring, citing family strain",The Straits Times,2 days ago,2020-12-24 22:32:47.081198,"WASHINGTON (AFP) - White House coronavirus task force coordinator Deborah Birx has said she plans to soon retire, ending a tumultuous assignment that ...",https://www.straitstimes.com/world/united-states/top-us-coronavirus-official-deborah-birx-retiring-citing-family-strain,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.1531
Austrian court overturns coronavirus mask mandate in schools,The Straits Times,2 days ago,2020-12-24 22:32:47.077182,"VIENNA (AFP) - Austria's Constitutional Court ruled on Wednesday (Dec 23) that two government measures to fight the spread of coronavirus in schools, ...",https://www.straitstimes.com/world/europe/austrian-court-overturns-coronavirus-mask-mandate-in-schools,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
