title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
"White House suppressed coronavirus reports and downplayed virus, House panel says",CNBC,"Aug 31, 2020",2020-08-31,"The House Select Subcommittee on Coronavirus published eight weeks of state coronavirus reports, which are prepared by the task force and sent privately to ...",https://www.cnbc.com/2020/08/31/white-house-suppressed-coronavirus-reports-and-downplayed-virus-house-panel-says.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Coronavirus digest: US tallies 6 million infections,Deutsche Welle,"Aug 31, 2020",2020-08-31,"Venezuela ordered the country to lockdown for a full week, as the nation is gripped by the coronavirus pandemic. ""Everybody be prepared for seven days of a ...",https://www.dw.com/en/coronavirus-digest-us-tallies-6-million-infections/a-54764572,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Coronavirus: 5 of 8 community cases part of cluster involved in ...,The Straits Times,"Aug 31, 2020",2020-08-31,"... migrant workers living in dormitories made up the remaining 39 of the 54 new coronavirus patients announced on Sunday, taking Singapore's total to 56,771.",https://www.straitstimes.com/singapore/coronavirus-5-of-8-community-cases-part-of-cluster-involved-in-family-gatherings,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Coronavirus: Texas cases rise by smallest amount since mid ...,Financial Times,"Aug 30, 2020",2020-08-30,Australian health officials raise concerns that a second wave of coronavirus could spread. China's services sector grew sharply in August as a domestic-demand ...,https://www.ft.com/content/8297af82-2858-3558-a7f0-163574e06b96,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Coronavirus: Even a plane wore a 'mask' when it landed at ...,The Straits Times,"Aug 30, 2020",2020-08-30,"SINGAPORE - The blue mask is a common sight these days but on Thursday (Aug 27) morning, it was spotted on a Cargolux Airlines Boeing 747-8 at Changi ...",https://www.straitstimes.com/singapore/coronavirus-even-a-plane-donned-a-mask-when-it-landed-at-changi-airport,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Coronavirus: 'Reassuring' study of children's 'tiny' risk,BBC News,"Aug 28, 2020",2020-08-28,"Coronavirus: 'Reassuring' study of children's 'tiny' risk · Parents should be ""reassured"" Covid-19 has not caused the deaths of any otherwise healthy schoolchildren ...",https://www.bbc.com/news/health-53932294,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.5,0.1531
Coronavirus: Scheme disbursing $500 to hawkers who ...,The Straits Times,"Aug 28, 2020",2020-08-28,Coronavirus: Scheme disbursing $500 to hawkers who engage food delivery platforms extended till end-2020. The initiative will alleviate concerns of hawkers ...,https://www.straitstimes.com/singapore/coronavirus-scheme-disbursing-500-to-hawkers-who-engage-food-delivery-platforms-extended,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"Philippine coronavirus infections top 200000, dampening ...",The Straits Times,"Aug 26, 2020",2020-08-26,"MANILA - Coronavirus virus infections in the Philippines topped 200,000 on Wednesday (Aug 26) - more than half of which were reported this month alone ...",https://www.straitstimes.com/asia/se-asia/philippine-coronavirus-infections-top-200000-dampening-hopes-of-flattening-the-curve,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.2023
Coronavirus: One of 2 hosts fined $4000 over unlawful ...,The Straits Times,"Aug 26, 2020",2020-08-26,"Coronavirus: One of 2 hosts fined $4,000 over unlawful gathering in Compassvale Crescent flat. Cassie Ong Shi Hong pleaded guilty to an offence under the ...",https://www.straitstimes.com/singapore/courts-crime/coronavirus-one-of-2-hosts-fined-4000-over-unlawful-gathering-in-compassvale,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Coronavirus in vacant apartment suggests toilets' role in spread,The Straits Times,"Aug 26, 2020",2020-08-26,"BEIJING (BLOOMBERG) - The discovery of coronavirus in the bathroom of an unoccupied apartment in Guangzhou, China, suggests the airborne pathogen may ...",https://www.straitstimes.com/asia/east-asia/coronavirus-in-vacant-apartment-suggests-toilets-role-in-spread,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
