title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
World Covid-19 tracker: Latest cases and deaths by country,CNN,"Mar 11, 2020",2020-03-11,Authorities in 217 countries and territories have reported about 78.8 million Covid‑19 cases and 1.7 million deaths since China reported its first cases to the ...,https://www.cnn.com/interactive/2020/health/coronavirus-maps-and-cases/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.9,0.0
Coronavirus declared global health emergency by WHO,BBC News,"Jan 31, 2020",2020-01-31,"The new coronavirus has been declared a global emergency by the World Health Organization, as the outbreak continues to spread outside China. ""The main ...",https://www.bbc.com/news/world-51318246,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.3818
U.S. Imposes Entry Restrictions Over Coronavirus,Wall Street Journal,"Jan 31, 2020",2020-01-31,The U.S. imposed entry restrictions on foreign nationals and quarantines on Americans returning from the Chinese province at the center of the coronavirus ...,https://www.wsj.com/articles/u-k-reports-first-coronavirus-cases-as-china-allies-limit-ties-11580467046,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.1027
Wuhan coronavirus: Singapore to widen travel restrictions to ...,CNA,"Jan 31, 2020",2020-01-31,"In an effort to minimise the risk of community spread of the Wuhan coronavirus, new visitors of any nationality with recent travel history to mainland China will not ...",https://www.channelnewsasia.com/news/singapore/wuhan-virus-travel-restrictions-all-visitors-china-12374324,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Dow plummets 600 points in worst day since August as coronavirus fears grow,CNBC,"Jan 31, 2020",2020-01-31,"On Friday, the U.S. declared the coronavirus a public health emergency within the country. Delta, American and United suspended all flights between China and ...",https://www.cnbc.com/2020/01/31/stock-market-wall-street-in-focus-after-coronavirus-declares-global-emergency.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-1.0,1.0,-0.7845
Thailand confirms first human-to-human coronavirus ...,CNA,"Jan 31, 2020",2020-01-31,"Bookmark. BANGKOK: Thailand has seen its first case of human-to-human transmission of the new coronavirus inside the country, a health official said on Friday ( ...",https://www.channelnewsasia.com/news/asia/wuhan-virus-thailand-first-human-coronavirus-transmission-12374356,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.25,0.3333333333333333,0.0
Coronavirus: Two cases confirmed in UK,BBC News,"Jan 31, 2020",2020-01-31,"Two people from the same family have tested positive for coronavirus in the UK, the chief medical officer for England has announced. The Chinese nationals ...",https://www.bbc.co.uk/news/health-51325192,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.4,1.0,0.0
WHO declares China coronavirus that's killed more than 200 a global health emergency,CNBC,"Jan 30, 2020",2020-01-30,"The World Health Organization said the fast-spreading coronavirus that's infected more than 8,200 people across the world is a global health emergency.",https://www.cnbc.com/2020/01/30/who-declares-china-coronavirus-a-global-health-emergency.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.09999999999999999,0.16666666666666666,-0.7964
Statement on the second meeting of the International Health ...,World Health Organization,"Jan 30, 2020",2020-01-30,"To the global community. As this is a new coronavirus, and it has been previously shown that similar coronaviruses required substantial efforts to enable regular ...",https://www.who.int/news/item/30-01-2020-statement-on-the-second-meeting-of-the-international-health-regulations-(2005)-emergency-committee-regarding-the-outbreak-of-novel-coronavirus-(2019-ncov),"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
FAQs About The Wuhan Coronavirus: How Dangerous Is It? How Worried Should We Be? : Goats and Soda,NPR,"Jan 30, 2020",2020-01-30,"As a point of comparison, about 10% of people who contracted a similar coronavirus, SARS (severe acute respiratory syndrome), died as a result. There have ...",https://www.npr.org/sections/goatsandsoda/2020/01/30/800393906/your-questions-about-wuhan-coronavirus-answered,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.6,0.9,-0.6868
INSIGHT: Coronavirus to hit global chemicals demand,,"Jan 30, 2020",2020-01-30,"It appears this strain of coronavirus is less deadly than SARS, which also originated in China in 2003, but more contagious. Ultimately, the impact on China's ...",https://www.icis.com/explore/resources/news/2020/01/30/10462142/insight-coronavirus-to-hit-global-chemicals-demand,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.128
Jack Ma Funds Coronavirus Vaccine,finews.asia,"Jan 30, 2020",2020-01-30,Alibaba co-founder and China's richest man joins other tech companies in donating funds to coronavirus mitigation efforts. Jack Ma has announced that he has ...,https://www.finews.asia/people/30849-jack-ma-donates-14-5-million-coronavirus-research-alibaba,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Coronavirus Has Now Spread To All Regions Of Mainland ...,NPR,"Jan 30, 2020",2020-01-30,"The deadly strain of coronavirus that emerged in Wuhan has now spread to every part of mainland China, from Shanghai to Tibet. The rapid increase caused the ...",https://www.npr.org/sections/goatsandsoda/2020/01/30/801142924/coronavirus-has-now-spread-to-all-regions-of-mainland-china,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
China coronavirus: Misinformation spreads online about origin and scale,BBC News,"Jan 30, 2020",2020-01-30,"As the death toll from the coronavirus outbreak continues to rise, social-media users have been sharing advice on ways to treat or prevent the disease.",https://www.bbc.com/news/blogs-trending-51271037,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.3182
gov.sg | What is the 2019 novel coronavirus?,Gov.sg,"Jan 29, 2020",2020-01-29,"But scientists have identified seven types of coronaviruses that affect humans. Of these seven, the more severe infections are: - Severe acute respiratory syndrome ...",https://www.gov.sg/article/what-is-covid-19,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.3182
Can Face Masks Prevent Coronavirus? Here's What Medical Experts Say : Goats and Soda,NPR,"Jan 29, 2020",2020-01-29,"As the coronavirus continues to spread, officials in China are urging citizens to wear masks in public to stop the spread of the virus â€” and cities in China as well ...",https://www.npr.org/sections/goatsandsoda/2020/01/29/800531753/face-masks-what-doctors-say-about-their-role-in-containing-coronavirus,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0258
Germany confirms three further cases of coronavirus,Deutsche Welle,"Jan 28, 2020",2020-01-28,"Germany confirms three further cases of coronavirus. The disease, which has killed more than 100 people in China, has now infected four people in Bavaria. All ...",https://www.dw.com/en/germany-confirms-three-further-cases-of-coronavirus/a-52181064,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.5,0.0
The Deceptively Simple Number Sparking Coronavirus Fears,The Atlantic,"Jan 28, 2020",2020-01-28,The Deceptively Simple Number Sparking Coronavirus Fears. Here's what the oft-cited R0 number tells us about the new outbreak—and what it doesn't. Ed Yong.,https://www.theatlantic.com/science/archive/2020/01/how-fast-and-far-will-new-coronavirus-spread/605632/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.35714285714285715,-0.3612
