month,year,topic,batchLength,textBlobAdjustedLength,vaderAdjustedLength,meanPolarity,meanSubjectivity,meanAdjustedPolarity,meanAdjustedSubjectivity,meanVaderPolarity,meanAdjustedVaderPolarity
10,2020,Android,50,22,21,0.15161255411255412,0.2538831168831169,0.34457398661944116,0.5565525383707203,0.10163599999999999,0.24199047619047617
11,2020,Android,50,21,26,0.06688989898989899,0.26437373737373737,0.15926166426166427,0.5401755651755652,0.11565800000000001,0.22241923076923079
