title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
6 things to know about Trump’s Mexico tariffs,Brookings Institution,"May 31, 2019",2019-05-31,"Yet, since this policy links two of Trump's signature issues, trade and immigration, it may be more difficult for White House advisers to talk Trump out of it. Even if ...",https://www.brookings.edu/blog/up-front/2019/05/31/6-things-to-know-about-trumps-mexico-tariffs/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
President Donald Trump's poor mental health is grounds for impeachment,USA TODAY,"May 31, 2019",2019-05-31,"Donald Trump should be removed from the office of the president because he is psychologically unfit to uphold his constitutional duties. John D. Gartner, David ...",https://www.usatoday.com/story/opinion/2019/05/31/donald-trump-should-impeached-because-his-bad-mental-health-column/1260781001/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.25,0.4,-0.4767
Trump says US will impose 5% tariff on all Mexican imports from June 10,CNBC,"May 30, 2019",2019-05-30,"The U.S. will impose a 5% tariff on all Mexican imports from June 10, President Donald Trump said in a Thursday evening Twitter post. Duties of up to 25% will ...",https://www.cnbc.com/2019/05/31/trump-says-us-will-impose-5percent-tariff-on-all-mexican-imports-from-june-10.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.296
Trump: Official who directed obscuring USS John S. McCain warship was ‘well-meaning’,Washington Post,"May 30, 2019",2019-05-30,President Trump on Thursday said somebody who was “well-meaning” had directed the Navy to obscure the warship USS John S. McCain while Trump was ...,https://www.washingtonpost.com/politics/trump-official-who-directed-obscuring-uss-john-s-mccain-warship-was-well-meaning/2019/05/30/b9a6ae4a-82de-11e9-bce7-40b4105f7ca0_story.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.1779
Mueller declares his Russia report did not exonerate Trump,Associated Press,"May 29, 2019",2019-05-29,WASHINGTON (AP) — Special counsel Robert Mueller said Wednesday that charging President Donald Trump with a crime was “not an option” because of ...,https://apnews.com/article/94323cfc164c4759ba6bf84ad2a46203,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.3252
Trump’s trip to Japan reveals some mixed signals,Washington Post,"May 29, 2019",2019-05-29,"By inviting Trump to be the first foreign leader to meet with the new emperor, Japanese Prime Minister Shinzo Abe showcased how his country prioritizes its ...",https://www.washingtonpost.com/politics/2019/05/29/trumps-trip-japan-reveals-some-mixed-signals/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.25,0.0
Remarks by President Trump and Prime Minister Abe of Japan ...,,"May 27, 2019",2019-05-27,"With President Trump, we had the summit talk last month at White House, and we celebrated Melania's birthday together, didn't we? Next month, he will be visiting ...",https://www.whitehouse.gov/briefings-statements/remarks-president-trump-prime-minister-abe-japan-joint-press-conference-3/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Trump in Japan: Pomp and tense circumstance,Associated Press,"May 27, 2019",2019-05-27,"The president and prime minister tried mightily to minimize their differences during Trump's four-day state visit to Tokyo, while playing up their close personal ...",https://apnews.com/6ae669f7590148c7a3879ca0bccde68c,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.3333333333333333,0.5,-0.34
Donald Trump welcomes Japan's offer of mediation with Iran,The Guardian,"th · May 27, 2019",2019-05-27,"Donald Trump has said he would support Shinzo Abe's efforts to act as a mediator between the US and Iran, as reports suggested the Japanese prime minister ...",https://www.theguardian.com/world/2019/may/27/donald-trump-welcomes-japans-offer-of-mediation-with-iran,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.4019
Will Trump’s assault on Huawei create a digital iron curtain?,South China Morning Post,"May 26, 2019",2019-05-26,Tech cold war: how Trump's assault on Huawei is forcing the world to contemplate a digital iron curtain. Recent US trade moves against China are not short-term ...,https://www.scmp.com/tech/big-tech/article/3011700/tech-cold-war-how-trumps-assault-huawei-forcing-world-contemplate,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.4019
Trump plays down North Korea missile tests,Financial Times,"May 25, 2019",2019-05-25,Mr Trump is expected to discuss North Korea during his meetings with Mr Abe. The US president played golf with the Japanese prime minister on Sunday morning ...,https://www.ft.com/content/56450d08-7f49-11e9-b592-5fe435b57a3b,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.15555555555555559,0.2888888888888889,0.25
Trump declares emergency to expedite arms sales to Saudi Arabia and UAE,CNN,"May 24, 2019",2019-05-24,"The notification comes on the same day as President Donald Trump's announcement that he is sending an additional 1,500 US troops to the Middle East to ...",https://www.cnn.com/2019/05/24/politics/trump-arms-sales-saudi-arabia-uae/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.3818
"In latest attack, Trump tweets edited video of Pelosi tripping over words",NBC News,"May 24, 2019",2019-05-24,"President Donald Trump on Thursday night tweeted out an edited video showing Nancy Pelosi stumbling over her words, escalating the personal attacks he has ...",https://www.nbcnews.com/politics/donald-trump/another-attack-trump-tweets-video-pelosi-tripping-over-words-n1009551,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.9,-0.4767
Trump: 'I can imagine Huawei being included' in a US-China trade deal,CNBC,"May 23, 2019",2019-05-23,President Donald Trump signals he is willing to negotiate over tough U.S. restrictions on the Chinese telecom giant Huawei as part of a broader trade deal with ...,https://www.cnbc.com/2019/05/23/trump-huawei-trade-deal.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"Trump, Pelosi trade insults as their feud heats up",Associated Press,"May 23, 2019",2019-05-23,The enmity between President Donald Trump and House Speaker Nancy Pelosi deteriorated Thursday into rude-and-then-some questioning of his fitness for ...,https://apnews.com/ce08485cee37470db8983b8bd06c40a0,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.6369
‘He always brings them up’: Trump tries to steer border wall deal to North Dakota firm,Washington Post,"May 23, 2019",2019-05-23,President Trump has personally and repeatedly urged the head of the U.S. Army Corps of Engineers to award a border wall contract to a North Dakota ...,https://www.washingtonpost.com/immigration/he-always-brings-them-up-trump-tries-to-steer-border-wall-deal-to-north-dakota-firm/2019/05/23/92d3858c-7b30-11e9-8bb7-0fc796cf2ec0_story.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.15000000000000002,0.4,0.0
Trump’s latest explanation for the Huawei ban is unacceptably bad,The Verge,"May 23, 2019",2019-05-23,"For more than a year now, Trump has been placing an escalating series of tariffs on Chinese imports in order to force leaders to the bargaining table, with China ...",https://www.theverge.com/2019/5/23/18637836/trump-huawei-ban-explanation-trade-deal-national-security-risk,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.09999999999999992,0.7833333333333333,-0.7964
"Trump's gripe-filled news conference, annotated",Washington Post,"on · May 22, 2019",2019-05-22,President Trump held a supposedly impromptu news conference Wednesday that nonetheless included a prepared placard on the lectern and handouts for ...,https://www.washingtonpost.com/politics/2019/05/22/trumps-gripe-filled-press-conference-annotated/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Trump's new deal: Don't bet on Democrats taking it,NBC News,"May 22, 2019",2019-05-22,WASHINGTON — President Donald Trump is putting himself first and Americans second — as long as the House is investigating him. During a brief private ...,https://www.nbcnews.com/politics/donald-trump/trump-s-new-message-me-first-america-second-n1008881,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13636363636363635,0.45454545454545453,0.0
Trump’s Huawei Attack Is a Serious Mistake,Bloomberg,"May 20, 2019",2019-05-20,Trump's Huawei Attack Is a Serious Mistake. Banning one of China's most high-profile companies from U.S. networks makes sense. Putting it out of business does ...,https://www.bloomberg.com/opinion/articles/2019-05-20/huawei-blacklist-trump-and-commerce-make-a-serious-mistake,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.3333333333333333,0.6666666666666666,-0.7003
Judge rules against Trump in fight over president’s financial records,Washington Post,"May 20, 2019",2019-05-20,President Trump on Monday lost an early round of his court fight with Democrats after a federal judge ruled the president's accounting firm must turn over his ...,https://www.washingtonpost.com/local/legal-issues/us-judge-denies-trump-bid-to-quash-house-subpoena-for-years-of-financial-records/2019/05/20/74e45880-7b21-11e9-8bb7-0fc796cf2ec0_story.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.3818
Trump declares some auto imports pose national security threat,Reuters,"May 17, 2019",2019-05-17,"Trump's decision, at least for now, averts what was shaping up to be a new dramatic escalation in the Trump administration's trade disputes around the world, ...",https://www.reuters.com/article/us-autos-tariffs-usa-idUSKCN1SN1FY,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.25
Trump's Huawei Threat Is the Nuclear Option to Halt China's ...,Bloomberg,"May 16, 2019",2019-05-16,"The Trump administration is pulling out the big guns in its push to slow China's rise, with potentially devastating consequences for the rest of the world.",https://www.bloomberg.com/news/articles/2019-05-16/trump-s-huawei-threat-is-the-nuclear-option-to-halt-china-s-rise,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.5267
"Trump administration cracks down on giant Chinese tech firm, escalating clash with Beijing",Washington Post,"May 16, 2019",2019-05-16,"“President Trump has directed the Commerce Department to be vigilant in its protection of national security activities,” Commerce Secretary Wilbur Ross said in a ...",https://www.washingtonpost.com/world/national-security/trump-signs-order-to-protect-us-networks-from-foreign-espionage-a-move-that-appears-to-target-china/2019/05/15/d982ec50-7727-11e9-bd25-c989555e7766_story.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.0888888888888889,0.4222222222222223,0.0
Remarks by President Trump on Modernizing Our Immigration System for a Stronger America,Whitehouse.gov,"May 16, 2019",2019-05-16,"Remarks by President Trump on Modernizing Our Immigration System for a Stronger America. Immigration. Issued on: May 16, 2019 ...",https://www.whitehouse.gov/briefings-statements/remarks-president-trump-modernizing-immigration-system-stronger-america/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.3818
