title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
"Trump's expanded travel ban targets Nigeria, five other countries",Reuters,"Jan 31, 2020",2020-01-31,WASHINGTON (Reuters) - U.S. President Donald Trump issued an expanded version of his travel ban on Friday that targets prospective immigrants from Nigeria ...,https://www.reuters.com/article/us-usa-immigration-ban-idUSKBN1ZU2WD,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.125,0.375,-0.5574
Trump accuses Democrats of 'deranged partisan crusades' as impeachment trial heats up,NBC News,"Jan 29, 2020",2020-01-29,"President Donald Trump doubled down his attacks against Democrats and his impeachment trial at a New Jersey campaign rally Tuesday night, accusing them ...",https://www.nbcnews.com/politics/donald-trump/trump-accuses-democrats-deranged-partisan-crusades-impeachment-trial-heats-n1125271,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.34
Remarks by President Trump at a Signing Ceremony for the ...,,"Jan 29, 2020",2020-01-29,"Remarks by President Trump at a Signing Ceremony for the United States-Mexico-Canada Trade Agreement. Economy & Jobs. Issued on: January 29, 2020 ...",https://www.whitehouse.gov/briefings-statements/remarks-president-trump-signing-ceremony-united-states-mexico-canada-trade-agreement/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Remarks by President Trump and Prime Minister Netanyahu ...,,"Jan 28, 2020",2020-01-28,"PRESIDENT TRUMP: Thank you. (Applause.) Thank you very much. Thank you. Today, Israel takes a big step towards peace. (Applause.) Young people across ...",https://www.whitehouse.gov/briefings-statements/remarks-president-trump-prime-minister-netanyahu-state-israel-joint-statements/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"Trump's Middle East peace plan calls for two states, with Palestinian capital in east Jerusalem",CNBC,"Jan 28, 2020",2020-01-28,"President Donald Trump's long-awaited Middle East peace plan calls for a state of Palestine with a capital in east Jerusalem, he said during an event Tuesday ...",https://www.cnbc.com/2020/01/28/trump-plan-calls-for-palestinian-state-with-capital-in-east-jerusalem.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.5423
Trump announces long-awaited Israeli-Palestinian peace package amid doubts it will lead to progress,Washington Post,"Jan 28, 2020",2020-01-28,"President Trump proposed a sweeping Middle East peace plan Tuesday that would establish a disjointed Palestinian state largely surrounded by Israel, while ...",https://www.washingtonpost.com/politics/trump-set-to-release-long-awaited-mideast-peace-package-seen-as-generous-to-israel/2020/01/28/883e3d50-41d3-11ea-b5fc-eefa848cde99_story.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.6249
Who is paying President Trump's lawyers at impeachment trial?,Washington Post,"Jan 28, 2020",2020-01-28,"As President Trump faces mounting legal bills from his impeachment trial, he is ... The law firms of Trump's lead lawyer, Jay Sekulow, and attorney Jane Raskin ...",https://www.washingtonpost.com/local/legal-issues/trumps-impeachment-defense-who-is-paying-the-presidents-lawyers/2020/01/27/5ac18268-3eec-11ea-8872-5df698785a4e_story.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"Trump Tied Ukraine Aid to Inquiries He Sought, Bolton Book Says",The New York Times,"Jan 27, 2020",2020-01-27,"Trump's requests that Ukraine announce investigations into his perceived enemies, including former Vice President Joseph R. Biden Jr. and his son Hunter Biden, ...",https://www.nytimes.com/2020/01/26/us/politics/trump-bolton-book-ukraine.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"Trump Did 'Nothing Wrong,' His Legal Team Says In First Day ...",NPR,"Jan 25, 2020",2020-01-25,"President Trump ""did absolutely nothing wrong,"" White House counsel Pat Cipollone said Saturday, as lawyers representing the president got their first shot to ...",https://www.npr.org/2020/01/25/797321065/president-trumps-legal-team-to-begin-impeachment-defense,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.016666666666666663,0.4777777777777778,0.2924
Remarks by President Trump at the 47th Annual March for Life,,"Jan 24, 2020",2020-01-24,"The National Mall Washington, D.C.. 12:28 P.M. EST. THE PRESIDENT: Well, thank you very much and thank you, Jeanne. It is my profound honor to be the first ...",https://www.whitehouse.gov/briefings-statements/remarks-president-trump-47th-annual-march-life/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
