title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Trump administration prepares to leave Open Skies Treaty,DefenseNews.com,"May 21, 2020",2020-05-21,"The news was confirmed by U.S. President Donald Trump midday, followed by a formal announcement by Secretary of State Mike Pompeo that the administration ...",https://www.defensenews.com/global/europe/2020/05/21/trump-admin-to-withdraw-from-open-skies-treaty/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.5,-0.0516
W.H.O. Members Reject Trump’s Demands but Agree to Study Its Virus Response,The New York Times,"May 20, 2020",2020-05-20,performed as the virus spread from China to the rest of the world. Public health experts noted that Mr. Trump's threats to withdraw from the organization and halt ...,https://www.nytimes.com/2020/05/19/us/politics/trump-who-coronavirus.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.34
Trump Makes False Claim About Michigan Secretary of State and Mail Voting,The New York Times,"May 20, 2020",2020-05-20,"Trump's first tweet Wednesday targeted Michigan, a critical swing state that he won narrowly in 2016. “Michigan sends absentee ballots to 7.7 million people ...",https://www.nytimes.com/2020/05/20/us/politics/trump-michigan-vote-by-mail.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.4000000000000001,0.6,0.0
"Trump’s bogus attacks on mail-in voting could hurt his supporters, too",Washington Post,"on · May 20, 2020",2020-05-20,"But Michigan is not sending absentee ballots to all 7.7 million registered voters in the state, as Trump's claim suggests. Instead, as Michigan Secretary of State ...",https://www.washingtonpost.com/outlook/2020/05/20/trump-mail-vote-fraud/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.5267
Trump vents as more states move to expand vote-by-mail ahead of November election,CNN,"May 20, 2020",2020-05-20,"(CNN) President Donald Trump on Wednesday lashed out at officials in two swing states, Michigan and Nevada, over their moves to make it easier for more ...",https://www.cnn.com/2020/05/20/politics/vote-by-mail-trump/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.3182
Trump Ousted State Dept. Watchdog at Pompeo’s Urging; Democrats Open Inquiry,The New York Times,"May 19, 2020",2020-05-19,Trump's decision to remove Mr. Linick is the latest in a series of ousters aimed at inspectors general who the president and his allies believe are opposed to his ...,https://www.nytimes.com/2020/05/16/us/politics/linick-investigation-pompeo.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.5,0.0
Trump says he takes hydroxychloroquine to prevent coronavirus infection even though it's an unproven treatment,CNBC,"May 18, 2020",2020-05-18,President Donald Trump said Monday that he has been taking anti-malaria drug hydroxychloroquine for over a week to prevent coronavirus infection even ...,https://www.cnbc.com/2020/05/18/trump-says-he-takes-hydroxychloroquine-to-prevent-coronavirus-infection.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0258
Trump’s purge just got much more corrupt. Here’s what’s coming next.,Washington Post,"May 18, 2020",2020-05-18,"But in the case of Trump's termination of Steve Linick, the State Department IG, this could end up looking far worse than we know. There's a backstory here that has ...",https://www.washingtonpost.com/opinions/2020/05/18/trumps-purge-just-got-much-more-corrupt-heres-whats-coming-next/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.5,0.0
The pre-shutdown Donald Trump is back,CNN,"May 17, 2020",2020-05-17,"(CNN) On February 28, President Donald Trump told rallygoers at the North Charleston Coliseum in South Carolina that ""the Democrats are politicizing the ...",https://www.cnn.com/2020/05/17/opinions/pre-shutdown-trump-is-back-opinion-weekly-column-galant/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
'It eats him alive inside': Trump's latest attack shows endless ...,The Guardian,"May 16, 2020",2020-05-16,"President Barack Obama and President-elect Donald Trump once sat together in the Oval Office. “I was immediately struck by Trump's body language,” wrote ...",https://www.theguardian.com/us-news/2020/may/16/trump-obama-obsession-coronavirus-president,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.15833333333333333,0.6833333333333332,-0.128
