title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
"Trump imposes steel and aluminum tariffs on the E.U., Canada and Mexico",Washington Post,"May 31, 2018",2018-05-31,"President Trump on Thursday imposed tariffs on imported steel and aluminum from the European Union, Canada and Mexico, triggering immediate retaliation ...",https://www.washingtonpost.com/business/economy/trump-imposes-steel-and-aluminum-tariffs-on-the-european-union-canada-and-mexico/2018/05/31/891bb452-64d3-11e8-a69c-b944de66d9e7_story.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.1027
Dinesh D'Souza: Why did Trump pardon the provocateur?,BBC News,"May 31, 2018",2018-05-31,"On Thursday morning Donald Trump announced that he would use his presidential powers to pardon Dinesh D'Souza, who had pleaded guilty in 2014 for ...",https://www.bbc.com/news/world-us-canada-44321650,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.3182
Kim Kardashian meets with Trump to discuss prison reform,CNN,"May 31, 2018",2018-05-31,"Kim Kardashian West met with President Donald Trump and other officials, including senior adviser Jared Kushner, at the White House on Wednesday to ...",https://www.cnn.com/2018/05/30/politics/kim-kardashian-jared-kushner-white-house/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.5106
Did Trump Fire Comey Over the Russia Inquiry or Not?,New York Times,"May 31, 2018",2018-05-31,"Comey was leading the investigation into whether Mr. Trump's 2016 presidential campaign had coordinated with Russian election meddling. Initially, the White ...",https://www.nytimes.com/2018/05/31/us/politics/fact-check-trump-fire-comey-russia.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.34
Trump wishes he hadn't picked Jeff Sessions for attorney general,CNN,"May 30, 2018",2018-05-30,"But Trump's frequent fits of fury over Sessions have only further attracted the special counsel's attention. Sessions himself has sat for an interview with Mueller, and ...",https://www.cnn.com/2018/05/30/politics/donald-trump-jeff-sessions-attorney-general/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.05000000000000002,0.5,0.1531
Top Republicans dismiss President Trump's 'Spygate' claims,ABC News,"May 30, 2018",2018-05-30,"Top Republican debunks Trump's 'spy' claims. ""I am even more convinced that the FBI did exactly what my fellow citizens would want them to do when they got ...",https://abcnews.go.com/Politics/top-republicans-dismiss-president-trumps-spygate-claims/story?id=55529987,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.2023
Trump breaks silence on Roseanne Barr scandal,,"May 30, 2018",2018-05-30,"President Trump's first public reaction to the cancellation of ""Roseanne"" is a shot at Disney CEO Bob Iger. What he didn't say is just as notable. He didn't say ...",https://money.cnn.com/2018/05/30/media/president-trump-roseanne-barr-bob-iger/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.4404
President Donald J. Trump to Sign Right to Try Legislation ...,Whitehouse.gov,"May 30, 2018",2018-05-30,"Trump for his signature. The “Trickett Wendler, Frank Mongiello, Jordan McLinn, and Matthew Bellina Right to Try Act of 2017” passed Congress on May 22, 2018 ...",https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-sign-right-try-legislation-fulfilling-promise-made-expand-healthcare-options-terminal-americans/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.2857142857142857,0.5357142857142857,0.0
Trump Asked Sessions to Retain Control of Russia Inquiry After His Recusal,New York Times," · May 29, 2018",2018-05-29,"WASHINGTON — By the time Attorney General Jeff Sessions arrived at President Trump's Mar-a-Lago resort for dinner one Saturday evening in March 2017, he ...",https://www.nytimes.com/2018/05/29/us/politics/trump-sessions-obstruction.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Donald Trump just put the 'Me' in his Memorial Day tweet,CNN,"May 29, 2018",2018-05-29,"President Donald Trump went in, um, another direction on Monday. Here's his tweet: “Happy Memorial Day! Those who died for our great country would be very ...",https://www.cnn.com/2018/05/28/politics/donald-trump-memorial-day-tweet/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
