title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Trump Encourages Protest Against Governors Who Have Imposed Virus Restrictions,The New York Times,"Apr 29, 2020",2020-04-29,Trump's call for liberation from social distancing rules followed protests around the country as protesters — many wearing red “Make America Great Again” hats — ...,https://www.nytimes.com/2020/04/17/us/politics/trump-coronavirus-governors.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.1531
Exclusive: Trump says China wants him to lose his re-election bid,Reuters,"Apr 29, 2020",2020-04-29,WASHINGTON (Reuters) - U.S. President Donald Trump said he believes China's handling of the coronavirus pandemic is proof that Beijing “will do anything ...,https://www.reuters.com/article/us-usa-trump-china-exclusive-idUSKBN22C01F,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.2,0.1,-0.296
Trump Signs Executive Order to Prevent Meat Shortage,The New York Times,"Apr 29, 2020",2020-04-29,"WASHINGTON — President Trump on Tuesday declared meat processing plants “critical infrastructure,” in an effort to ensure that facilities around the country ...",https://www.nytimes.com/2020/04/28/business/economy/coronavirus-trump-meat-food-supply.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.2263
Trump Coronavirus Vaccine: 'Operation Warp Speed' Project News,Bloomberg,"Apr 29, 2020",2020-04-29,"President Donald Trump's top medical advisers, led by the infectious disease expert Anthony Fauci, have repeatedly said that a coronavirus vaccine won't be ...",https://www.bloomberg.com/news/articles/2020-04-29/trump-s-operation-warp-speed-aims-to-rush-coronavirus-vaccine,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Trust in Trump’s Virus Response Is Falling. What Does It Mean for November?,The New York Times,"Apr 29, 2020",2020-04-29,"Americans are rapidly losing faith in President Trump's handling of the coronavirus outbreak, according to national polls released over the past week.",https://www.nytimes.com/2020/04/10/us/politics/trump-polls-coronavirus.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.3125,0.6875,0.4019
Trump’s Disinfectant Remark Raises a Question About the ‘Very Stable Genius’,The New York Times,"Apr 26, 2020",2020-04-26,"President Trump's self-assessment has been consistent. “I'm, like, a very smart person,” he assured voters in 2016. “A very stable genius,” he ruled two years ...",https://www.nytimes.com/2020/04/26/us/politics/trump-disinfectant-coronavirus.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.2,0.3,0.296
Trump claims controversial comment about injecting disinfectants was ‘sarcastic’,Washington Post,"th · Apr 24, 2020",2020-04-24,"Amid a flurry of backlash and ridicule, President Trump walked back his suggestion that scientists test whether disinfectants, such as bleach, could be injected ...",https://www.washingtonpost.com/nation/2020/04/24/disinfectant-injection-coronavirus-trump/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.325,0.875,-0.2023
Fact check: Trump dangerously suggests sunlight and ingesting disinfectants could help cure coronavirus,CNN,"Apr 24, 2020",2020-04-24,"MUST WATCH. Dr. Gupta shuts down Trump's medical claim 05:00. Washington (CNN) On Thursday, President Donald Trump added to his list of dubious or ...",https://www.cnn.com/2020/04/23/politics/fact-check-coronavirus-briefing-april-23/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.6,0.9,-0.0772
Opinion | Injections of Bleach? Trump’s Coronavirus Response Is Breaking Down,The New York Times,"Apr 24, 2020",2020-04-24,Not a day goes by without several friends — Republicans as well as Democrats — saying that to me. It's the blunt coda to a bloated recitation of Donald Trump's ...,https://www.nytimes.com/2020/04/24/opinion/sunday/bleach-sunlight-coronavirus-trump.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.15555555555555559,0.2888888888888889,0.0
Trump's poor poll numbers trigger GOP alarms over November,Politico,"Apr 24, 2020",2020-04-24,Senior Republicans and President Donald Trump's campaign are wrestling with how to best position him for November as the coronavirus poses a grave threat ...,https://www.politico.com/news/2020/04/24/trump-poll-2020-205722,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.4,0.6,-0.6369
Trump and Congress spar over next coronavirus economic package as CBO paints grim picture of what’s to come,Washington Post,"Apr 24, 2020",2020-04-24,"And President Trump has also sent mixed messages about his priorities, creating an uncertain path forward as the pandemic thrusts the nation into ever deeper ...",https://www.washingtonpost.com/us-policy/2020/04/24/trump-cbo-congress-coronavirus/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.26666666666666666,0.39999999999999997,-0.5719
Trump says he will block coronavirus aid for U.S. Postal Service if it doesn’t hike prices immediately,Washington Post,"Apr 24, 2020",2020-04-24,"The president said the postal agency should quadruple its package delivery prices, otherwise he would block congressionally approved funding · AD · Trump's ...",https://www.washingtonpost.com/us-policy/2020/04/24/trump-postal-service-loan-treasury/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.4404
Coronavirus: medical experts denounce Trump's theory of 'disinfectant injection',The Guardian,"Apr 23, 2020",2020-04-23,"Donald Trump has stunned viewers by suggesting people could receive injections of disinfectant to cure the coronavirus, a notion one medical expert described ...",https://www.theguardian.com/world/2020/apr/23/trump-coronavirus-treatment-disinfectant,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.34
Trump's new campaign app gamifies voter outreach,CNN,"Apr 23, 2020",2020-04-23,"(CNN) Share a Trump tweet, win a point. Share the campaign app with a friend, win 100 points. Earn 5,000 points and you can redeem a campaign store ...",https://www.cnn.com/2020/04/23/politics/trump-campaign-app/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13636363636363635,0.45454545454545453,0.2732
Trump Criticizes Gov. Brian Kemp for Decision to Reopen Georgia,The New York Times,"Apr 22, 2020",2020-04-22,"ATLANTA — President Trump on Wednesday criticized the decision of a political ally, Gov. Brian Kemp of Georgia, to allow many businesses to reopen this ...",https://www.nytimes.com/2020/04/22/us/trump-georgia-governor-kemp-coronavirus.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.34
Trump's moves on immigration reveal his true motives,CNN,"Apr 22, 2020",2020-04-22,"At that time, President Donald Trump tweeted that in order to ""protect the jobs of GREAT American citizens,"" he would be suspending immigration to the United ...",https://www.cnn.com/2020/04/22/opinions/trump-immigration-tweet-denigrates-america-zakaria/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.35,0.65,0.4215
Top vaccine doctor says his concern about Trump's coronavirus treatment theory led to ouster from federal agency,CNBC,"Apr 22, 2020",2020-04-22,"Top vaccine doctor says his concern about Trump's coronavirus treatment theory led to ouster from federal agency. Published Wed, Apr 22 20205:01 PM EDT ...",https://www.cnbc.com/2020/04/22/coronavirus-treatment-vaccine-doctor-says-worry-about-trump-idea-led-to-ouster.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.2023
Fact check: President Trump's false claims from Tuesday's coronavirus briefing,CNN,"Apr 22, 2020",2020-04-22,Washington (CNN) President Donald Trump uttered fewer false claims than usual at the White House coronavirus briefing on Tuesday. But he did make at least ...,https://www.cnn.com/2020/04/21/politics/trump-fact-check-april-21/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.4000000000000001,0.6,0.0
