title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Trump vs. Biden: How ‘bro culture’ has infiltrated U.S. politics,Macleans.ca,"Mar 30, 2018",2018-03-30,Biden: How 'bro culture' has infiltrated U.S. politics. The politicians' threats is a clear example of a strategy that appeals to voters' ideas about the sort of men who ...,https://www.macleans.ca/opinion/trump-vs-biden-how-bro-culture-has-infiltrated-u-s-politics/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"Biden tackles gun control, voting, and foreign policy at Penn ...",WHYY,"Mar 30, 2018",2018-03-30,"Joe Biden left the White House well over a year ago, but the former vice president isn't holding back on political commentary. And he's not afraid to accuse ...",https://whyy.org/articles/biden-tackles-gun-control-voting-and-foreign-policy-at-penn-forum/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.125,0.125,-0.34
Biden: I regret saying I'd 'beat the hell' out of Trump for making lewd remarks,The Guardian,"Mar 29, 2018",2018-03-29,"At a University of Miami rally against sexual assault earlier this month, Biden cited Trump's lewd comments made in a 2005 Access Hollywood tape about ...",https://www.theguardian.com/us-news/2018/mar/29/joe-biden-donald-trump-beat-the-hell,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.8126
Northeast Philly's 'Pizzagate' man gets thrown out of Joe ...,PhillyVoice.com,"Mar 29, 2018",2018-03-29,"""Sessions Swats Biden's Hand Away""--You Tube. I thought this clown was just a Demorat buffoon. After looking at that video, as well as the other ones on youtube; ...",https://www.phillyvoice.com/northeast-philadelphia-pizzagate-man-thrown-out-joe-biden-event/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Biden: 'Russian meddling a ‘complex threat',Newsday,"Mar 27, 2018",2018-03-27,"Former Vice President Joe Biden told a crowd of more than 1,000 in Brookville Tuesday night that Russian aggression, from meddling in the 2016 presidential ...",https://www.newsday.com/long-island/politics/joe-biden-tilles-center-1.17714768,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.15,0.2,-0.5267
#2020Vision: Biden's beneficial brawl; Warren's health care move; Harris backs Jealous in Maryland,CNN,"Mar 26, 2018",2018-03-26,"#2020Vision: Biden's beneficial brawl; Warren's health care move; Harris backs Jealous in Maryland. By Eric Bradner, Gregory Krieg and Caroline Kenny, CNN.",https://www.cnn.com/2018/03/25/politics/2020-vision-joe-biden-fight/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.4404
Joe Biden is tough enough without the tough talk,The Boston Globe,"Mar 26, 2018",2018-03-26,"Biden's an expert at that. As he writes in this book, “My story precedes me.” In 1972, he lost a wife and daughter to a car crash that left him ...",https://www.bostonglobe.com/opinion/2018/03/26/joe-biden-tough-enough-without-tough-talk/1fJNEGPHSHAsJOFgvRFyxO/story.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.25925925925925924,0.7222222222222223,-0.0335
'Too many children are being hurt': former VP Joe Biden surprises Delaware March for Our Lives rally,USA TODAY,"Mar 24, 2018",2018-03-24,Biden's sentiments underscored the action of today's rallies across the USA. Police cars blocked off the streets here on Saturday morning as hundreds joined the ...,https://www.usatoday.com/story/news/nation/2018/03/24/too-many-children-being-hurt-former-vp-joe-biden-surprises-delaware-march-our-lives-rally/455760002/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.25,0.25,-0.3612
Jill Biden and Colin Powell to speak at education conference,"Boston News, Weather, Sports | WHDH 7News","Mar 24, 2018",2018-03-24,"Biden, the wife of former Vice President Joe Biden, is scheduled to speak Saturday at the Boston Convention and Exhibition Center. She previously taught at a ...",https://whdh.com/news/jill-biden-and-colin-powell-to-speak-at-education-conference/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Opinion | Biden and Trump Talk Trash,New York Times,"Mar 23, 2018",2018-03-23,We've been talking a lot about Biden this week because of his dust-up with Donald Trump. You will remember that the former vice president told a gathering of ...,https://www.nytimes.com/2018/03/23/opinion/biden-trump-trash-talk.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
