title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
"Biden's running mate announcement pushed back, likely will not come next week",USA TODAY,"Jul 31, 2020",2020-07-31,"Harris, who ran for president in the 2020 primary, emerged as an early favorite to be Biden's vice presidential pick. However, over the past several weeks, Bass ...",https://www.usatoday.com/story/news/politics/elections/2020/07/31/2020-election-joe-biden-running-mate-announcement-pushed-back/5558895002/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.3333333333333333,0.0
"Joe Biden narrows down his VP list, with Karen Bass emerging as one of several key contenders",CNN,"Jul 31, 2020",2020-07-31,"Amid furious last-minute lobbying and speculation about Biden's historic decision, California Sen. Kamala Harris and Susan Rice, Barack Obama's former national ...",https://www.cnn.com/2020/07/31/politics/joe-biden-running-mate/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.0763888888888889,0.44722222222222224,0.0
Harris allies granted call with Biden campaign after Dodd blowup,Politico,"Jul 31, 2020",2020-07-31,Allies of Kamala Harris sought and received a meeting with Joe Biden's campaign staff this week after a leader of his vice presidential vetting team was quoted ...,https://www.politico.com/news/2020/07/31/harris-allies-biden-call-dodd-389848,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.25
Deleted Biden video sets off a crisis at Voice of America,Politico,"Jul 30, 2020",2020-07-30,Voice of America is weighing a suspension of four contractors who were involved in publishing a story and video that was deemed too favorable to Joe Biden's ...,https://www.politico.com/news/2020/07/30/deleted-biden-video-sets-off-a-crisis-at-voice-of-america-388571,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.6249
"Biden, Bernie forces clash during convention meeting",Politico,"Jul 30, 2020",2020-07-30,"At a virtual gathering of a key committee for the Democratic National Convention, Bernie Sanders-allied members said Joe Biden appointees called them ...",https://www.politico.com/news/2020/07/30/joe-biden-bernie-sanders-convention-389226,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Some Biden allies wage a shadow campaign to stop Kamala Harris from becoming vice president,CNBC,"Jul 29, 2020",2020-07-29,"Some of Joe Biden's allies are waging a campaign behind the scenes to stop Sen. Kamala Harris, D-Calif., from becoming his vice president. This disgruntled ...",https://www.cnbc.com/2020/07/29/biden-allies-move-to-stop-kamala-harris-from-becoming-vice-president.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.45,0.8500000000000001,-0.296
Who Are Govs. Michelle Lujan Grisham And Gretchen Whitmer?,NPR,"Jul 29, 2020",2020-07-29,New Mexico Gov. Michelle Lujan Grisham and Michigan Gov. Gretchen Whitmer are among those thought to be on Joe Biden's vice presidential shortlist.,https://www.npr.org/2020/07/29/896168899/as-states-take-pandemic-lead-biden-is-said-to-weigh-at-least-2-governors-for-vp,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
How The Coronavirus Would Complicate Biden's Global Affairs,NPR,"Jul 27, 2020",2020-07-27,"For former Vice President Joe Biden, foreign policy isn't primarily about position papers, global summits or treaties. It's about personal connections, forged over ...",https://www.npr.org/2020/07/27/895200629/bidens-foreign-policy-is-all-about-relationships-that-s-harder-amid-a-pandemic,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Ohio will host the first debate between Biden and Trump,Toledo Blade,"Jul 27, 2020",2020-07-27,The first presidential debate between Joe Biden and President Trump is happening in Ohio after the original host withdrew due to concerns about coronavirus.,https://www.toledoblade.com/local/politics/2020/07/27/ohio-will-host-the-first-debate-between-biden-and-trump/stories/20200727105,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.25,0.3333333333333333,0.0
Biden’s staff must delete TikTok from their personal and work phones,The Verge,"Jul 27, 2020",2020-07-27,"Staffers from Democrat Joe Biden's presidential campaign must remove TikTok from personal and work phones, a campaign official told The Verge.",https://www.theverge.com/2020/7/27/21341062/biden-staff-delete-tiktok-personal-work-phones,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.3,0.0
