title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Explainer: The case for Trump's impeachment - and the case against it,Reuters,"Dec 31, 2019",2019-12-31,"WASHINGTON (Reuters) - The Democratic-controlled U.S. House of Representatives voted on Dec. 19 to formally charge President Donald Trump, ...",https://www.reuters.com/article/us-usa-trump-impeachment-case-explainer-idUSKBN1YZ0P0,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Trump's latest call with Putin raises more questions than it answers,CNN,"Dec 30, 2019",2019-12-30,"Instead, word came from Moscow, where the Kremlin issued a brief statement saying Vladimir Putin had initiated a call to thank Trump for information provided by ...",https://www.cnn.com/2019/12/30/politics/trump-call-putin-readout-terror-attack/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.7,0.0
Trump attacks whistleblower in tweetstorm full of rants and conspiracies,CNN,"Dec 28, 2019",2019-12-28,"What Trump's tweetstorm reveals. According to the Trump Twitter Archive, which tracks every post from the President, he shared 55 posts on Friday, mostly by ...",https://www.cnn.com/2019/12/28/politics/trump-ukraine-whistleblower-twitter/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.35,0.55,-0.6369
"Analysis: Trump more negative, prolific on Twitter amid Democratic impeachment inquiry",USA TODAY,"Dec 23, 2019",2019-12-23,"President Trump is tweeting more frequently than ever, and his dispatches are increasingly negative, according to a USA TODAY analysis. Matt Wynn, and John ...",https://www.usatoday.com/in-depth/news/politics/2019/12/23/donald-trumps-tweets-get-negative-impeachment-2020-election-loom/2601246001/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.1,0.45,-0.6115
"Christianity Today receives boost in new subscriptions after calling for Trump's removal, editor in chief says",CNBC,"Dec 22, 2019",2019-12-22,"Christianity Today receives boost in new subscriptions after calling for Trump's removal, editor in chief says.",https://www.cnbc.com/2019/12/22/christianity-today-receives-boost-in-subscriptions-after-call-for-trump-removal.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13636363636363635,0.45454545454545453,0.4019
Trump Created The Space Force. Here's What It Will Actually Do,NPR,"Dec 21, 2019",2019-12-21,"When President Trump signed a $738 billion defense spending bill on Friday, he officially created the Space Force. It's the sixth branch of the U.S. Armed ...",https://www.npr.org/2019/12/21/790492010/trump-created-the-space-force-heres-what-it-will-do,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.1,0.25
U.S. Braces for Major North Korean Weapons Test as Trump’s Diplomacy Fizzles,The New York Times,"Dec 21, 2019",2019-12-21,"President Trump's summits with Kim Jong-un have failed to bring concrete results, and the diplomatic vacuum has given North Korea more time to build its nuclear ...",https://www.nytimes.com/2019/12/21/world/asia/north-korea-missile-test-trump-kim.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0625,0.5,-0.4877
"Christianity Today, an influential evangelical magazine, says Trump ‘should be removed from office’",Washington Post,"Dec 20, 2019",2019-12-20,Billy Graham published a surprising editorial Thursday calling for President Trump's removal and describing him as “a near perfect example of a human being who ...,https://www.washingtonpost.com/religion/2019/12/19/christianity-today-an-influential-evangelical-magazine-says-president-trump-should-be-removed-office/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.4404
Evangelical publication calls for Trump's removal from office,CNN,"Dec 20, 2019",2019-12-20,"Trump should be removed from office by the Senate or by popular vote next election—that is a matter of prudential judgment,"" Christianity Today's editor in chief, ...",https://www.cnn.com/2019/12/19/politics/christianity-today-op-ed-trump-removal-office/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"Trump impeached on charges of abuse of power, obstruction",Associated Press,"Dec 19, 2019",2019-12-19,"Trump tweeted Thursday that the Senate should just go ahead and the Democrats “would lose by default,” but the trial cannot begin until the articles are delivered.",https://apnews.com/article/0756fda2b5143891c5da1c6897001cee,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.743
