title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Trump cuts aid to Central American countries as migrant crisis deepens,Reuters,"Mar 30, 2019",2019-03-30,"At a rally on the border in El Paso, Texas, Democratic presidential hopeful Beto O'Rourke denounced Trump's immigration policies as the politics of “fear and ...",https://www.reuters.com/article/us-usa-immigration-trump-idUSKCN1RC013,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.125,-0.743
The Golan Heights: What's at Stake With Trump's Recognition,Council on Foreign Relations,"Mar 28, 2019",2019-03-28,"President Trump's reversal of half-century-old U.S. policy will in practice change little in the strategic territory occupied by Israel, but it could have far-reaching ...",https://www.cfr.org/backgrounder/golan-heights-whats-stake-trumps-recognition,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"Trump says FBI, DOJ will review 'outrageous' Jussie Smollett case",NBC News,"Mar 28, 2019",2019-03-28,"""It is an embarrassment to our Nation!"" Trump said of prosecutors' dropping charges against the ""Empire"" actor.",https://www.nbcnews.com/politics/donald-trump/trump-says-fbi-doj-will-review-outrageous-jussie-smollett-case-n988281,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-1.0,1.0,-0.4588
Trump’s Call for Russian Hacking Makes Even Less Sense After Mueller,The Atlantic,"Mar 27, 2019",2019-03-27,"For the first year of his presidential campaign, Donald Trump was a devoted exponent of the press conference. He seemed to revel in the format: the jousts with ...",https://www.theatlantic.com/politics/archive/2019/03/reviewing-trumps-call-russian-hacking-after-mueller/585838/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.08333333333333333,0.03333333333333333,0.0
Mueller report: Why Trump’s “no collusion” victory lap is premature,Vox,"Mar 27, 2019",2019-03-27,Why Trump's “no collusion” victory lap is premature. Foreign intelligence operations are not meant to leave traces behind that could be used in a courtroom. By ...,https://www.vox.com/policy-and-politics/2019/3/27/18284306/trump-no-collusion-mueller-report-bill-barr-russia-intelligence-operations,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Trump tells Russia to get its troops out of Venezuela,Reuters,"Mar 27, 2019",2019-03-27,WASHINGTON (Reuters) - U.S. President Donald Trump on Wednesday called on Russia to pull its troops from Venezuela and said that “all options” were open ...,https://www.reuters.com/article/us-venezuelan-politics-usa-idUSKCN1R81OQ,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"Trump administration doubles down on opposition to Puerto Rico funding, drawing criticism",NBC News,"Mar 27, 2019",2019-03-27,"The White House doubled down Wednesday on President Donald Trump's comments opposing disaster funding for Puerto Rico, drawing outrage from ...",https://www.nbcnews.com/news/latino/trump-administration-doubles-down-opposition-puerto-rico-funding-drawing-criticism-n988181,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.15555555555555559,0.2888888888888889,-0.4404
Trump hints at payback for 'evil' enemies over Mueller report,BBC News,"Mar 26, 2019",2019-03-26,"President Donald Trump says his enemies who did ""evil"" and ""treasonous things"" will be under scrutiny after he was absolved of colluding with Russia. Speaking ...",https://www.bbc.com/news/world-us-canada-47699611,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-1.0,1.0,-0.8225
Conway's Spin on Trump's 'Obstructive Conduct',FactCheck.org,"Mar 26, 2019",2019-03-26,White House counselor Kellyanne Conway falsely claimed that special counsel Robert Mueller's report concluded that President Donald Trump engaged in “no ...,https://www.factcheck.org/2019/03/conways-spin-on-trumps-obstructive-conduct/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Trump Administration Says Entire Affordable Care Act Should ...,NPR,"Mar 26, 2019",2019-03-26,"Updated at 1:30 p.m. ET. In a significant shift, the Trump administration says the entirety of the Affordable Care Act should be struck down in the courts.",https://www.npr.org/2019/03/26/706869835/trump-administration-now-says-entire-affordable-care-act-should-be-repealed,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.625,0.4939
President Donald J. Trump Stands by America's Cherished ...,Whitehouse.gov,"Mar 25, 2019",2019-03-25,Trump is welcoming Israeli Prime Minister Benjamin Netanyahu to the White House and furthering our countries' friendship. President Trump is welcoming Prime ...,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-stands-americas-cherished-ally-israel/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.5106
Trump says Mueller acted honorably in Russia probe,Politico,"Mar 25, 2019",2019-03-25,President Donald Trump said Monday that he believes Robert Mueller acted ... his investigation into whether Russia colluded with Trump's presidential ...,https://www.politico.com/story/2019/03/25/trump-mueller-acted-honorably-1235226,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.5267
A Cloud Over Trump’s Presidency Is Lifted,New York Times,"Mar 24, 2019",2019-03-24,Trump's family members or even uncover a smoking gun that would prove that his campaign collaborated with the Russian government to elect him in 2016. The ...,https://www.nytimes.com/2019/03/24/us/politics/trump-robert-mueller.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Explainer: Why Trump's legal woes go beyond the Mueller report,Reuters,"Mar 24, 2019",2019-03-24,On Sunday Barr released a summary of Mueller's findings that said the investigation did not find that President Donald Trump committed a crime but also does ...,https://www.reuters.com/article/us-usa-trump-russia-investigations-expla-idUSKCN1R50S3,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.2,0.2,-0.34
Here Are the Other Investigations President Trump Still Faces,TIME,"Mar 23, 2019",2019-03-23,This case is located in the Southern District of New York and focused on payments Trump's former lawyer Michael Cohen made on his behalf to women who ...,https://time.com/5557644/donald-trump-other-investigations-mueller/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.125,0.375,0.0
Trump’s legal troubles are far from over even as Mueller probe ends,Washington Post,"Mar 23, 2019",2019-03-23,"For 22 months, Donald Trump's presidency has been haunted largely by one legal foe, a Washington prosecutor with seemingly unlimited power but who was ...",https://www.washingtonpost.com/politics/trumps-legal-troubles-are-far-from-over-even-as-mueller-probe-ends/2019/03/23/397fd1e8-4d68-11e9-93d0-64dbcf38ba41_story.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.15000000000000002,0.6,-0.3612
"Donald Trump's new, confusing closing argument against the Mueller report",CNN,"Mar 22, 2019",2019-03-22,It's also in keeping with Trump's broader lack of knowledge – or concern – about the traditional separation between a president and his Justice Department. Trump ...,https://www.cnn.com/2019/03/22/politics/donald-trump-robert-mueller-unelected/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.08181818181818182,0.42727272727272725,-0.5267
Trump's Numerous Declarations of Victory Over IS,Voice of America,"Mar 21, 2019",2019-03-21,"In late 2018, President Donald Trump announced the U.S. would withdraw almost all of its troops from Syria, saying the Islamic State terror group had been ...",https://www.voanews.com/usa/us-politics/trumps-numerous-declarations-victory-over,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.5,0.0
President Donald J. Trump is Improving Transparency and ...,,"Mar 21, 2019",2019-03-21,"Trump is committed to promoting free speech on college campuses. Today, the President is signing an Executive Order that promotes free speech on college ...",https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-is-improving-transparency-and-promoting-free-speech-in-higher-education/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.4215
Here's What Trump's Executive Order on Free Speech Says,The Chronicle of Higher Education,"Mar 21, 2019",2019-03-21,"Here's What Trump's Executive Order on Free Speech Says. By Andy Thomason. March 21, 2019.",https://www.chronicle.com/article/Here-s-What-Trump-s/245943?cid=wcontentgrid_hp_1b,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.4,0.8,0.5106
Trump signs executive order on campus free speech,CNN,"Mar 21, 2019",2019-03-21,"Donald Trump signed an executive order Thursday afternoon aimed at improving transparency and promoting free speech on college campuses, part of a ...",https://www.cnn.com/2019/03/21/politics/campus-free-speech-executive-order-donald-trump/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.4,0.8,0.5106
"Trump Supporter Sobs as He Describes Mailing Bombs to Obama, Clinton and Other Democrats",New York Times,"Mar 21, 2019",2019-03-21,"Sayoc Jr., sat in a Manhattan federal courtroom on Thursday and described how he painstakingly assembled homemade pipe bombs that he sent to prominent ...",https://www.nytimes.com/2019/03/21/nyregion/cesar-sayoc-trump-mail-bomber.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.125,0.375,-0.34
But their emails: Seven members of Trump’s team have used unofficial communication tools,Washington Post,"Mar 21, 2019",2019-03-21,President Trump's objections to Hillary Clinton's use of a private email server when she was secretary of state were never terribly convincing. He didn't always ...,https://www.washingtonpost.com/politics/2019/03/21/their-emails-seven-members-trumps-team-have-used-unofficial-communications-tools/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
