title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Nvidia Is Not a ‘Videogame Company.’ Its Founder Explains What It Really Is.,Barron's,"Jun 30, 2020",2020-06-30,"Nvidia's Jensen Huang (Photo by Ethan Miller/Getty Images). Getty Images. Barron's spoke recently with Jensen Huang, the chief executive and co-founder of chip ...",https://www.barrons.com/articles/nvidias-founder-on-creating-the-big-bang-of-artificial-intelligence-51593511201,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.2,0.2,0.0
"Mercedes Ends BMW Partnership, Elopes with Nvidia On Self ...",Eetasia.com,"Jun 29, 2020",2020-06-29,"Mercedes-Benz will leverage Nvidia's Orin computer SoC, which is based on the recently announced Nvidia Ampere supercomputing architecture. Nvidia will be ...",https://www.eetasia.com/mercedes-ends-bmw-partnership-elopes-with-nvidia-on-self-driving/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
NVIDIA And Mercedes-Benz Appear To Be Reinventing Automotive Business Model,Forbes,"Jun 29, 2020",2020-06-29,"With NVIDIA's global leadership in accelerated computing and Mercedes-Benz's experience in the manufacturing of premium cars, together, they plan to create a ...",https://www.forbes.com/sites/moorinsights/2020/06/29/nvidia-and-mercedes-benz-appear-to-be-reinventing-automotive-business-model/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"Accenture, AMD, Facebook and Nvidia sign up to advance 'Confidential Computing'",SiliconANGLE,"Jun 29, 2020",2020-06-29,"and Nvidia Corp. That's on top of lesser-known startups: Anjuna Security Inc., Anqlave Pte. Ltd., Cosmian Tech SAS, iExec Blockchain Tech SAS, IoTeX ...",https://siliconangle.com/2020/06/29/accenture-amd-facebook-nvidia-sign-advance-confidential-computing/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Top analysts are betting on stocks like Mastercard and Nvidia right now into the second half,CNBC,"Jun 28, 2020",2020-06-28,"With this in mind, the analyst reiterated his Nvidia buy rating on June 23 with a $425 stock price forecast (12% upside potential). Net-net, “We continue to see ...",https://www.cnbc.com/2020/06/28/analysts-are-betting-on-stocks-like-nvidia-mastercard.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.15476190476190477,0.3005952380952381,0.5106
Tesla. Is Still the Car Company to Beat. Just Ask Mercedes.,Barron's,"Jun 27, 2020",2020-06-27,"Nvidia and Mercedes are, in some respects, playing catch-up. Something the rest auto industry is used to these days regarding Tesla. Almost every other auto ...",https://www.barrons.com/articles/the-auto-industry-is-still-chasing-tesla-just-ask-mercedes-and-nvidia-51593230460,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Mercedes-Benz And Nvidia Want To Make The World’s Most Advanced Autonomous Cars,Forbes,"Jun 26, 2020",2020-06-26,"Danny Shapiro, Senior Director of Automotive at NVIDIA, said that all modern devices are software-defined and upgradeable today. ""Think of your smartphone, ...",https://www.forbes.com/sites/jenniferhicks/2020/06/26/mercedes-benz-and-nvidia-want-to-make-the-worlds-most-advanced-autonomous-cars/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.43333333333333335,0.6,0.3804
Daimler and Nvidia team up to close tech gap to Tesla,CNA,"Jun 25, 2020",2020-06-25,Daimler and Nvidia unveiled a deal on Tuesday to develop and equip the German company's Mercedes-Benz cars with a next-generation chip and software ...,https://www.channelnewsasia.com/news/business/daimler-and-nvidia-team-up-to-close-tech-gap-to-tesla-12867486,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"Mercedes Drops Partnership With BMW, Hooks Up With NVIDIA On Self-Driving: Robocar Roundup",Forbes,"Jun 25, 2020",2020-06-25,"NVIDIA chips are leaders in doing neural network and graphics processing, and NVIDIA has been building, and fostering the development of car applications, ...",https://www.forbes.com/sites/bradtempleton/2020/06/25/mercedes-drops-partnership-with-bmw-hooks-up-with-nvidia-on-self-driving-robocar-roundup/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Nvidia stock rises after Susquehanna boosts target to new Street high,MarketWatch,"Jun 25, 2020",2020-06-25,"Rolland estimates that the Mellanox assets could add at least $20 billion to $30 billion to Nvidia's market value over time. ""We believe Mellanox increases the ...",https://www.marketwatch.com/story/nvidia-stock-rises-after-susquehanna-boosts-target-to-new-street-high-2020-06-25,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.1481818181818182,0.4972727272727272,0.3182
