title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Satoshi Kon's Tokyo Godfathers gorgeously revived in new restoration trailer,EW.com,"Jan 31, 2020",2020-01-31,"Japanese anime classic returns to theaters later this year. By Joey Nolfi. January 31, 2020 at 10:19 AM EST. Advertisement. Save FB Tweet More.",https://ew.com/movies/2020/01/31/tokyo-godfathers-rerelease-trailer/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.41818181818181815,0.6772727272727272,0.5106
"Netflix is making a live-action, U.S.-made One Piece series with original creator as producer",SoraNews24,"Jan 30, 2020",2020-01-30,"Still, One Piece climbed to the top of the anime/manga world despite some long odds. Japanese franchises about pirates are few and far between, and Oda ...",https://soranews24.com/2020/01/30/netflix-is-making-a-live-action-u-s-made-one-piece-series-with-original-creator-as-producer/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.375,0.75,0.3182
Hereâ€™s why these young Chennaiites strongly believe that anime is here to stay,Indulgexpress,"Jan 30, 2020",2020-01-30,"JAPAN MAY NO longer be an economic juggernaut, but its biggest artistic export is taking over the world. Anime (animated cartoons), manga (comics and ...",https://www.indulgexpress.com/culture/art/2020/jan/30/heres-why-these-young-chennaiites-strongly-believe-that-anime-is-here-to-stay-21897.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.26666666666666666,0.5666666666666667,0.2732
"Beautiful short anime about elderly couple’s love, meals looks like Ghibli film, is really miso ad",SoraNews24,"Jan 29, 2020",2020-01-29,"Japanese animation has always done a good job of making being young look awesome, with anime teens' days filled with love confessions, magical powers, ...",https://soranews24.com/2020/01/29/beautiful-short-anime-about-elderly-couples-love-meals-looks-like-ghibli-film-is-really-miso-ad/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.3875,0.525,0.891
'Weathering with You' is the perfect anime pick for you,UNCW Seahawk,"Jan 28, 2020",2020-01-28,"“Weathering with You,” Japan's official submission for the International Feature Film Oscar, is a delightful film with breathtaking visuals that tells a complete story of ...",https://theseahawk.org/24998/culture/weathering-with-you-is-the-perfect-anime-pick-for-you/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",1.0,1.0,0.5719
Bleach To Launch Undisclosed 20th Anniversary Project,Grit Daily,"Jan 28, 2020",2020-01-28,"It has been a while since we've encountered new material related to the Japanese anime television series Bleach. The animated show version ended in 2012, ...",https://gritdaily.com/bleach-to-launch-undisclosed-20th-anniversary-project/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
'Weathering With You' will brighten up an anime fan's day,Madison.com,"Jan 25, 2020",2020-01-25,"The old song “You Are My Sunshine” gets taken to a literal extreme in “Weathering With You,” the latest supernatural teen romance from Japanese anime ...",https://madison.com/ct/entertainment/movies/weathering-with-you-will-brighten-up-an-anime-fans-day/article_e420f971-6ef0-5c24-ad03-dcaed89cf83a.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.4404
"Remembering Satoshi Kon, one of anime's best-loved creators",The Japan Times,"Jan 24, 2020",2020-01-24,It has been nearly 10 years since anime director Satoshi Kon died of ... His influence extends beyond Japan: His films have been cited as inspiration for ...,https://www.japantimes.co.jp/culture/2020/01/24/films/remembering-satoshi-kon-anime/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
A Global Gathering of Prospective Voice Actors,Nippon.com,"Jan 24, 2020",2020-01-24,"“Many of the students say that as children they watched Japanese anime dubbed into their own language,” says Takeda. “As they grew older, they decided they ...",https://www.nippon.com/en/japan-topics/c07203/a-global-gathering-of-prospective-voice-actors.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Studio Ghibli animated Japanese films will come to Netflix,Economic Times,"Jan 23, 2020",2020-01-23,"Netflix has acquired the rights to 21 animated feature films for all regions it operates in except Japan, Canada, and the US. · ''83', 'Shikara', 'Takht': B'wood Films To ...",https://economictimes.indiatimes.com/magazines/panache/studio-ghibli-animated-japanese-films-will-come-to-netflix/articleshow/73543260.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Studio Ghibli films: An indispensable guide,BBC News,"Jan 23, 2020",2020-01-23,"Now that 21 films made by the legendary Japanese animation house are ... For the first time, the animated output of Japan's Studio Ghibli is being made ...",https://www.bbc.com/culture/article/20200123-studio-ghibli-an-indispensable-guide,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.4,0.9,0.0
Netflix Sets ‘The Witcher: Nightmare Of The Wolf’ Anime Movie,Deadline,"Jan 22, 2020",2020-01-22,"i mean hell, in japan they use anime just as a word for cartoons, so THEYD call it an anime haha. Its just semantics. if its a manga adaptation done by netflix in the ...",https://deadline.com/2020/01/the-witcher-nightmare-of-the-wolf-anime-movie-netflix-1202838030/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
