title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Chinese anime gains traction with more sophisticated offerings,Nikkei Asian Review,"Feb 29, 2020",2020-02-29,Japanese anime players are racing into the potentially lucrative market. Sony set up a local unit in Shanghai in the spring of 2019 for joint anime production with a ...,https://asia.nikkei.com/Business/Business-trends/Chinese-anime-gains-traction-with-more-sophisticated-offerings,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.3333333333333333,0.5,0.7425
Heroes Rising Spoils Deku Twist Ahead Of My Hero Academia's Manga Reveal,Screen Rant,"Feb 29, 2020",2020-02-29,"... manga series by Kohei Horikoshi, Heroes Rising jumps ahead of its source material and debuts a twist before its natural reveal in the Japanese anime series.",https://screenrant.com/my-hero-academia-heroes-rising-deku-quirks-twist-manga-spoiler/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.7845
Australian politician calls for immediate review of all anime due to depictions of “child abuse”,SoraNews24,"Feb 28, 2020",2020-02-28,"Bringing you yesterday's news from Japan and Asia, today. RocketNews24 Japanese.",https://soranews24.com/2020/02/28/australian-politician-calls-for-immediate-review-of-all-anime-due-to-depictions-of-child-abuse/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.0625,0.1875,0.0
Japanese 'Behind the Mac' ad shows MacBook appearances in anime,AppleInsider,"Feb 28, 2020",2020-02-28,"Apple's latest ""Behind the Mac"" commercial released on YouTube is an animated affair, with the 30-second spot aimed at Japanese consumers celebrating ...",https://appleinsider.com/articles/20/02/28/japanese-behind-the-mac-ad-shows-macbook-appearances-in-anime,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.2,0.35,0.0
Australian Senator Wants To Ban All Japanese Anime Featuring Child Exploitation,TheGamer,"Feb 28, 2020",2020-02-28,"The topic of banning anime has long been memed about, peaking with a photoshopped executive order from President Trump. It appears that senator Griff saw the ...",https://www.thegamer.com/australian-senator-wants-to-ban-anime-featuring-child-exploitation/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.06666666666666667,0.03333333333333333,-0.5574
"Anime Japan, Tokyo’s biggest anime industry convention, cancelled due to coronavirus fears",SoraNews24,"Feb 27, 2020",2020-02-27,"Since its first iteration in 2014, Anime Japan has grown to become Japan's premier animation industry event (the twice-a-year Comiket is technically a fan ...",https://soranews24.com/2020/02/27/anime-japan-tokyos-biggest-anime-industry-convention-cancelled-due-to-coronavirus-fears/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.125,0.375,-0.5859
Netflix Partners With Six Japanese Creators To Develop ...,Cartoon Brew,"Feb 27, 2020",2020-02-27,"Anime gives Netflix an edge over Disney, who may view adult-skewing Japanese animation as off-brand for its new streaming service Disney+. That said, Netflix is ...",https://www.cartoonbrew.com/streaming/netflix-commissions-six-japanese-creators-to-develop-anime-shows-186888.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Monster girl brothel anime finally makes a friend as it finds new broadcast partner in Japan,SoraNews24,"Feb 27, 2020",2020-02-27,"Bringing you yesterday's news from Japan and Asia, today. RocketNews24 Japanese.",https://soranews24.com/2020/02/27/monster-girl-brothel-anime-finally-makes-a-friend-as-it-finds-new-broadcast-partner-in-japan/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.06818181818181818,0.7272727272727273,0.4939
30-Year-Old Anime Prediction Sparks Talk of Olympic ...,Bloomberg,"Feb 27, 2020",2020-02-27,A scene from an iconic 1988 Japanese animated movie that famously predicted Tokyo would win the right to hold the 2020 Olympics has the country abuzz on ...,https://www.bloomberg.com/news/articles/2020-02-28/30-year-old-anime-prediction-sparks-talk-of-olympic-cancellation,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Netflix Teams With Six Japanese Anime Creators To Develop Originals,Deadline,"Feb 26, 2020",2020-02-26,"Netflix has partnered with six Japanese anime creators as it doubles down on the genre. The streamer has struck deals with CLAMP (Cardcaptor Sakura), Shin ...",https://deadline.com/2020/02/netflix-six-japanese-anime-creators-originals-1202868811/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
